food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC001,Hot tea (Garam Chai),asc_manual,68.16,16.14,2.58,0.39,0.53,2.58,0.00,321.50,144.18,16.39,0.00,14.20,11.50,1.04,3.12,13.95,0.02,0.01,0.11,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.86,0.00,0.01,0.01,0.04,0.00,0.24,0.86,0.24,23.75,tea cup,143.48,33.98,5.43,0.82,1.12,5.42,0.00,676.75,303.50,34.50,0.00,29.90,24.21,2.18,6.56,29.35,0.05,0.01,0.24,0.00,0.00,0.00,0.09,0.00,0.05,0.00,0.00,0.00,0.00,1.80,0.01,0.03,0.02,0.09,0.01,0.51,1.80,0.50,50.00
ASC002,Instant coffee,asc_manual,97.77,23.16,3.65,0.64,0.75,3.62,0.00,451.17,202.33,23.00,0.00,20.87,18.19,3.63,4.92,44.50,0.06,0.01,0.22,0.00,0.02,0.00,0.06,0.00,0.04,0.00,0.00,0.03,0.00,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33,tea cup,439.95,104.20,16.44,2.88,3.36,16.27,0.00,2030.25,910.50,103.50,0.00,93.90,81.84,16.35,22.13,200.25,0.27,0.06,0.98,0.00,0.07,0.00,0.29,0.00,0.17,0.00,0.00,0.13,0.00,5.60,0.02,0.09,0.80,0.25,0.03,3.49,5.60,1.51,150.00
ASC003,Espreso coffee,asc_manual,217.00,51.54,6.62,1.75,2.14,6.53,0.00,1291.67,580.16,66.21,0.00,58.10,50.25,8.57,13.98,103.86,0.15,0.04,0.56,0.00,0.03,0.00,0.19,0.00,0.11,0.00,0.00,0.05,0.00,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49,0.95,94.64,tea cup,343.94,81.70,10.49,2.77,3.39,10.36,0.00,2047.30,919.55,104.95,0.00,92.10,79.64,13.59,22.15,164.63,0.23,0.06,0.89,0.00,0.05,0.00,0.30,0.00,0.17,0.00,0.00,0.09,0.00,5.53,0.02,0.09,0.56,0.26,0.03,2.87,5.53,1.51,150.00
ASC004,Iced tea,asc_manual,44.09,10.34,2.70,0.03,0.01,2.70,0.00,5.47,0.00,5.47,0.00,1.18,0.58,0.39,0.23,5.22,0.02,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.01,0.01,0.00,0.01,0.40,1.86,0.22,tall glass,141.09,33.10,8.64,0.09,0.04,8.64,0.00,17.50,0.00,17.50,0.00,3.77,1.87,1.25,0.75,16.69,0.07,0.01,0.17,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,1.28,0.01,0.00,0.02,0.02,0.01,0.02,1.28,5.95,0.70
ASC005,Raw mango drink (Aam panna),asc_manual,152.39,35.92,9.05,0.16,0.03,7.49,0.61,6.14,5.89,9.43,0.00,7.08,3.34,4.25,79.82,31.45,0.14,0.03,0.05,0.00,0.05,0.01,0.03,0.00,0.17,1.46,0.00,3.44,0.00,5.23,0.00,0.00,0.05,0.03,0.03,0.27,5.23,16.87,167.19,tall glass,409.18,96.44,24.29,0.42,0.07,20.11,1.64,16.48,15.81,25.32,0.00,19.00,8.95,11.41,214.33,84.45,0.36,0.07,0.13,0.01,0.14,0.03,0.08,0.00,0.46,3.92,0.00,9.25,0.00,14.05,0.01,0.01,0.14,0.07,0.07,0.73,14.05,45.30,448.89
ASC006,Fruit Punch (with fresh juices),asc_manual,153.89,36.12,9.38,0.14,0.03,9.25,0.06,6.21,1.30,10.08,0.00,5.07,10.24,3.20,2.63,33.43,0.10,0.01,0.03,0.00,0.13,0.00,0.02,0.00,0.05,0.05,0.00,0.56,0.00,4.51,0.02,0.00,0.04,0.04,0.01,0.15,4.51,7.61,45.53,tall glass,837.66,196.60,51.06,0.76,0.18,50.33,0.33,33.78,7.09,54.88,0.00,27.59,55.75,17.40,14.33,181.99,0.56,0.05,0.17,0.00,0.69,0.02,0.12,0.00,0.25,0.27,0.00,3.06,0.00,24.57,0.09,0.02,0.22,0.24,0.08,0.83,24.57,41.44,247.86
ASC007,Fruit Punch (with squashes),asc_manual,98.22,23.13,5.99,0.07,0.02,5.88,0.17,5.23,1.63,7.07,0.00,3.30,9.27,1.88,2.26,16.65,0.06,0.01,0.04,0.00,0.08,0.00,0.01,0.00,0.03,0.05,0.00,0.65,0.00,1.82,0.00,0.00,0.02,0.02,0.01,0.08,1.82,3.00,55.69,tall glass,493.91,116.30,30.12,0.36,0.08,29.58,0.85,26.30,8.20,35.57,0.00,16.60,46.59,9.48,11.35,83.72,0.31,0.04,0.18,0.00,0.41,0.01,0.06,0.00,0.14,0.27,0.00,3.28,0.00,9.13,0.02,0.01,0.09,0.08,0.04,0.39,9.13,15.08,280.01
ASC008,Lemonade,asc_manual,88.66,20.80,5.48,0.03,0.01,5.47,0.02,4.65,0.04,5.30,0.00,1.84,0.67,0.73,28.52,5.73,0.05,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.47,0.00,0.60,0.00,0.00,0.01,0.01,0.00,0.01,0.60,1.51,53.70,glass,309.65,72.64,19.13,0.12,0.04,19.11,0.06,16.25,0.13,18.52,0.00,6.42,2.34,2.55,99.62,20.01,0.17,0.03,0.26,0.00,0.01,0.01,0.04,0.00,0.00,0.03,0.00,1.64,0.00,2.11,0.00,0.00,0.02,0.02,0.01,0.02,2.11,5.27,187.53
ASC009,Lem-o-gin,asc_manual,91.63,21.52,5.55,0.08,0.03,5.38,0.13,9.41,1.47,13.20,0.00,2.20,1.59,1.86,28.13,14.17,0.09,0.01,0.07,0.00,0.08,0.00,0.02,0.00,0.01,0.10,0.00,1.00,0.00,0.82,0.00,0.00,0.02,0.01,0.01,0.03,0.82,1.59,59.48,glass,326.90,76.76,19.81,0.29,0.10,19.21,0.46,33.58,5.23,47.10,0.00,7.84,5.66,6.65,100.37,50.54,0.31,0.04,0.26,0.00,0.30,0.01,0.07,0.00,0.03,0.34,0.00,3.56,0.00,2.92,0.01,0.01,0.05,0.04,0.02,0.10,2.92,5.68,212.20
ASC010,Cumin infused water (Jeere/Zeere ka pani),asc_manual,38.23,9.09,1.86,0.17,0.11,1.46,0.46,14.50,40.04,33.53,0.00,10.84,4.47,5.28,189.60,32.15,0.32,0.02,0.13,0.00,0.23,0.02,0.04,0.00,0.01,0.57,0.00,1.77,0.00,0.93,0.01,0.00,0.05,0.01,0.01,0.03,0.93,1.07,64.09,glass,129.54,30.80,6.32,0.57,0.37,4.95,1.57,49.14,135.67,113.62,0.00,36.75,15.15,17.89,642.49,108.95,1.07,0.06,0.44,0.01,0.79,0.06,0.14,0.00,0.05,1.94,0.00,5.99,0.00,3.14,0.03,0.01,0.17,0.04,0.02,0.12,3.14,3.61,217.20
ASC011,Coco pine cooler,asc_manual,138.47,32.75,5.72,0.56,1.00,5.52,0.26,627.31,248.96,41.50,3.40,17.81,13.47,6.59,23.20,66.65,0.13,0.01,0.31,0.00,0.13,0.00,0.07,10.53,0.07,0.07,0.00,0.84,0.00,2.92,0.03,0.04,0.05,0.14,0.02,0.29,2.92,2.47,96.55,tall glass,598.48,141.54,24.71,2.40,4.32,23.87,1.11,2711.24,1076.01,179.36,14.70,76.98,58.21,28.49,100.25,288.06,0.54,0.06,1.32,0.00,0.58,0.02,0.30,45.50,0.29,0.29,0.00,3.65,0.00,12.64,0.11,0.19,0.24,0.62,0.08,1.26,12.64,10.67,417.30
ASC012,Summer cooler,asc_manual,95.22,22.43,5.43,0.37,0.04,5.21,0.20,10.71,1.87,16.85,0.00,8.13,11.46,7.62,1.57,93.06,0.28,0.01,0.17,0.00,0.16,0.00,0.04,0.00,0.15,0.14,0.00,2.31,0.00,12.92,0.03,0.01,0.11,0.12,0.03,0.45,12.92,20.92,219.75,tall glass,471.00,110.95,26.87,1.85,0.18,25.78,0.97,52.99,9.27,83.33,0.00,40.22,56.67,37.71,7.78,460.35,1.37,0.04,0.83,0.00,0.78,0.02,0.21,0.00,0.76,0.69,0.00,11.43,0.00,63.89,0.17,0.06,0.53,0.61,0.14,2.25,63.89,103.50,1087.00
ASC014,Hot cocoa,asc_manual,378.24,90.10,9.23,3.36,4.56,9.01,0.00,2752.15,1257.17,139.48,0.00,113.66,101.41,16.05,24.20,132.15,0.31,0.09,0.90,0.00,0.01,0.00,0.42,0.00,0.22,0.00,0.00,0.02,0.00,7.22,0.03,0.10,0.10,0.32,0.04,1.87,7.22,1.89,189.11,cup,722.43,172.09,17.64,6.42,8.72,17.20,0.00,5256.60,2401.20,266.40,0.00,217.10,193.69,30.66,46.23,252.40,0.60,0.18,1.71,0.01,0.02,0.00,0.81,0.00,0.42,0.00,0.00,0.05,0.00,13.79,0.06,0.20,0.19,0.61,0.07,3.56,13.79,3.62,361.20
ASC015,Cold coffee with ice cream,asc_manual,286.61,67.85,11.24,1.57,2.11,11.18,0.01,1283.98,567.96,67.66,1.17,53.29,44.98,7.26,13.84,90.27,0.12,0.03,0.51,0.00,0.02,0.00,0.16,3.62,0.11,0.00,0.00,0.04,0.00,3.15,0.02,0.06,0.29,0.18,0.02,1.54,3.15,0.84,81.39,tall glass,864.12,204.56,33.90,4.73,6.36,33.71,0.02,3871.20,1712.40,204.00,3.53,160.68,135.61,21.88,41.74,272.16,0.37,0.09,1.53,0.00,0.08,0.00,0.49,10.92,0.32,0.00,0.00,0.13,0.00,9.49,0.05,0.17,0.86,0.53,0.05,4.65,9.49,2.53,245.40
ASC016,Banana milkshake (Kele milkshake),asc_manual,274.33,65.31,9.15,1.84,2.37,7.96,0.26,1423.07,634.17,87.19,0.00,62.64,52.77,7.92,13.61,102.43,0.13,0.03,0.49,0.00,0.05,0.00,0.19,0.00,0.13,0.02,0.00,0.25,0.00,5.74,0.02,0.06,0.10,0.22,0.08,1.21,5.74,1.98,134.30,tall glass,947.80,225.63,31.60,6.37,8.19,27.49,0.88,4916.70,2191.05,301.24,0.00,216.42,182.33,27.35,47.02,353.88,0.46,0.12,1.71,0.01,0.16,0.00,0.67,0.00,0.43,0.08,0.00,0.88,0.00,19.83,0.06,0.21,0.34,0.75,0.28,4.18,19.83,6.84,464.00
ASC017,Mango milkshake (Aam milkshake),asc_manual,239.13,56.90,7.23,1.73,2.35,7.15,0.26,1394.57,633.56,88.45,0.00,62.33,50.50,6.17,13.27,79.07,0.15,0.03,0.75,0.00,0.04,0.00,0.19,0.00,0.15,0.52,0.00,0.67,0.00,15.10,0.02,0.06,0.08,0.19,0.04,1.23,15.10,5.65,301.55,tall glass,850.10,202.28,25.71,6.14,8.34,25.41,0.94,4957.70,2252.30,314.44,0.00,221.60,179.52,21.94,47.19,281.08,0.55,0.12,2.66,0.02,0.13,0.00,0.67,0.00,0.54,1.86,0.00,2.38,0.00,53.68,0.07,0.22,0.28,0.67,0.13,4.36,53.68,20.10,1072.00
ASC018,Pineapple milkshake (Ananas milkshake),asc_manual,235.06,55.72,7.62,1.66,2.23,7.60,0.00,1336.79,599.51,68.15,0.00,59.92,47.88,5.14,14.05,65.68,0.11,0.02,0.47,0.00,0.12,0.00,0.18,0.00,0.11,0.00,0.00,0.00,0.00,4.79,0.02,0.06,0.06,0.18,0.03,0.98,4.79,2.80,100.08,tall glass,856.80,203.09,27.79,6.05,8.12,27.70,0.00,4872.60,2185.20,248.40,0.00,218.40,174.53,18.74,51.23,239.40,0.41,0.08,1.71,0.01,0.44,0.00,0.67,0.00,0.41,0.00,0.00,0.00,0.00,17.45,0.09,0.20,0.20,0.65,0.10,3.56,17.45,10.22,364.80
ASC019,Orange milkshake (Narangi milkshake),asc_manual,241.50,57.42,7.11,1.86,2.52,7.08,0.00,1525.07,683.94,77.75,0.00,67.42,55.47,5.30,14.63,73.43,0.11,0.02,0.54,0.00,0.01,0.00,0.19,0.00,0.14,0.00,0.00,0.00,0.00,5.28,0.02,0.06,0.05,0.20,0.02,1.16,5.28,3.39,115.26,tall glass,771.60,183.44,22.71,5.96,8.06,22.62,0.00,4872.60,2185.20,248.40,0.00,215.40,177.23,16.94,46.73,234.60,0.34,0.07,1.71,0.01,0.03,0.00,0.61,0.00,0.45,0.00,0.00,0.00,0.00,16.85,0.07,0.20,0.17,0.65,0.08,3.71,16.85,10.82,368.25
ASC020,Egg nog,asc_manual,407.68,97.14,8.15,4.78,5.11,8.06,0.02,2633.51,1536.21,299.55,60.30,102.13,107.24,8.99,40.65,115.14,0.43,0.04,7.43,0.00,0.02,0.00,0.47,32.62,0.42,0.08,0.14,0.10,2.41,13.81,0.03,0.12,0.08,0.51,0.06,4.57,13.81,1.59,180.53,tall glass,1237.30,294.82,24.72,14.50,15.51,24.47,0.06,7992.69,4662.39,909.14,183.00,309.97,325.46,27.30,123.37,349.45,1.31,0.13,22.54,0.01,0.05,0.01,1.43,99.00,1.29,0.23,0.42,0.30,7.30,41.91,0.10,0.36,0.25,1.55,0.18,13.88,41.91,4.82,547.90
ASC021,Sweet Lassi (Meethi lassi),asc_manual,151.19,35.66,6.51,1.29,0.68,6.51,0.00,431.64,178.53,22.60,2.49,45.65,38.46,4.38,18.31,63.50,0.03,0.01,0.45,0.00,0.00,0.00,0.16,6.33,0.01,0.00,0.00,0.00,0.00,4.07,0.01,0.06,0.05,0.11,0.02,0.59,4.07,0.23,4.75,tall glass,669.00,157.80,28.80,5.70,3.00,28.80,0.00,1910.00,790.00,100.00,11.00,202.00,170.20,19.40,81.00,281.00,0.14,0.02,2.00,0.00,0.00,0.00,0.72,28.00,0.05,0.00,0.00,0.00,0.00,18.00,0.06,0.27,0.20,0.50,0.10,2.60,18.00,1.00,21.00
ASC022,Lassi (salted),asc_manual,79.43,18.84,1.86,1.35,0.72,1.84,0.02,451.64,191.60,26.17,2.60,47.78,40.39,4.84,65.40,67.37,0.04,0.00,0.47,0.00,0.00,0.00,0.17,6.62,0.01,0.01,0.00,0.09,0.00,4.27,0.01,0.06,0.05,0.12,0.02,0.62,4.27,0.24,5.29,tall glass,336.18,79.76,7.86,5.73,3.04,7.80,0.08,1911.55,810.95,110.78,11.00,202.24,170.96,20.49,276.81,285.16,0.15,0.00,2.01,0.00,0.01,0.01,0.71,28.00,0.05,0.03,0.00,0.37,0.00,18.07,0.06,0.27,0.21,0.50,0.10,2.60,18.07,1.02,22.38
ASC023,Cheese and chilli sandwich ,asc_manual,916.65,218.11,27.40,6.80,9.78,2.38,2.08,5276.39,2277.00,351.37,23.05,113.79,89.98,18.86,437.50,142.31,0.99,0.10,4.57,0.00,0.32,0.02,0.56,97.40,0.25,0.24,0.00,5.85,0.00,28.95,0.14,0.09,1.00,0.10,0.07,1.77,28.95,22.06,518.11,triangle,511.04,121.60,15.28,3.79,5.45,1.33,1.16,2941.59,1269.43,195.89,12.85,63.44,50.16,10.51,243.91,79.34,0.55,0.05,2.55,0.00,0.18,0.01,0.31,54.30,0.14,0.13,0.00,3.26,0.00,16.14,0.08,0.05,0.56,0.05,0.04,0.99,16.14,12.30,288.85
ASC024,Egg sandwich (Ande ka sandwich),asc_manual,1198.25,285.96,29.16,8.69,15.80,1.86,1.88,8437.21,4047.35,733.87,121.63,110.13,107.32,18.88,461.67,129.59,1.44,0.11,14.16,0.00,0.34,0.02,0.77,190.34,0.70,0.13,0.21,1.94,3.60,29.40,0.15,0.10,0.98,0.37,0.08,4.54,29.40,0.00,134.03,triangle,608.11,145.12,14.80,4.41,8.02,0.95,0.95,4281.88,2054.03,372.44,61.72,55.89,54.46,9.58,234.30,65.76,0.73,0.06,7.19,0.00,0.17,0.01,0.39,96.60,0.35,0.06,0.10,0.98,1.83,14.92,0.07,0.05,0.50,0.19,0.04,2.30,14.92,0.00,68.02
ASC025,Cucumber sandwich (Kheere ka sandwich),asc_manual,792.81,188.60,25.77,4.80,8.00,1.64,2.45,4322.51,1808.72,287.53,17.53,87.84,62.30,21.60,362.64,154.06,1.02,0.09,3.58,0.00,0.31,0.02,0.46,78.85,0.21,0.62,0.00,4.69,0.00,21.34,0.12,0.04,0.94,0.19,0.06,1.19,21.34,2.51,129.54,triangle,481.64,114.57,15.65,2.92,4.86,1.00,1.49,2625.93,1098.80,174.67,10.65,53.36,37.85,13.13,220.31,93.59,0.62,0.06,2.17,0.00,0.19,0.01,0.28,47.90,0.12,0.38,0.00,2.85,0.00,12.96,0.07,0.03,0.57,0.12,0.04,0.72,12.96,1.53,78.70
ASC026,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),asc_manual,1080.78,257.71,29.10,8.20,12.80,4.10,2.33,7259.18,3109.01,440.30,34.35,199.73,195.37,21.52,571.96,143.39,1.04,0.10,4.73,0.00,0.54,0.02,0.91,134.35,0.39,0.15,0.00,2.15,0.00,21.66,0.14,0.09,0.90,0.14,0.07,1.23,21.66,6.52,97.00,triangle,602.54,143.68,16.22,4.57,7.13,2.29,1.30,4046.99,1733.27,245.47,19.15,111.35,108.92,12.00,318.87,79.94,0.58,0.05,2.64,0.00,0.30,0.01,0.50,74.90,0.22,0.09,0.00,1.20,0.00,12.08,0.08,0.05,0.50,0.08,0.04,0.68,12.08,3.64,54.08
ASC027,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),asc_manual,1020.45,243.32,26.92,7.92,12.27,2.85,1.97,6949.08,2976.77,438.74,32.88,191.20,187.97,20.97,549.71,148.52,1.00,0.09,4.52,0.00,0.32,0.03,0.87,128.58,0.35,2.65,0.00,6.82,0.00,20.91,0.13,0.09,0.95,0.15,0.07,1.23,20.91,5.42,1328.24,triangle,594.41,141.73,15.68,4.61,7.15,1.66,1.15,4047.84,1733.97,255.57,19.15,111.38,109.49,12.21,320.21,86.51,0.58,0.05,2.63,0.00,0.19,0.01,0.51,74.90,0.20,1.54,0.00,3.97,0.00,12.18,0.08,0.05,0.56,0.09,0.04,0.71,12.18,3.16,773.70
ASC028,Chicken sandwich,asc_manual,1063.58,253.27,25.38,13.12,11.75,1.60,1.64,4795.68,2264.61,412.47,42.06,89.56,121.57,21.59,389.67,196.08,1.19,0.19,10.83,0.00,0.30,0.02,0.70,84.92,0.32,0.11,0.53,1.37,10.74,19.06,0.15,0.07,3.94,0.45,0.24,1.62,19.06,0.00,61.71,triangle,619.53,147.53,14.78,7.64,6.84,0.93,0.95,2793.49,1319.13,240.26,24.50,52.17,70.81,12.57,226.98,114.22,0.69,0.11,6.31,0.00,0.17,0.01,0.41,49.47,0.18,0.06,0.31,0.80,6.26,11.10,0.09,0.04,2.30,0.26,0.14,0.94,11.10,0.00,35.95
ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),asc_manual,1223.06,291.43,28.54,9.53,16.14,2.82,4.03,5981.63,5583.70,2667.60,17.53,94.03,134.27,56.19,364.99,252.82,1.58,0.28,4.21,0.00,0.63,0.11,1.06,78.85,1.12,4.00,0.00,6.79,0.00,36.28,0.23,0.07,3.23,0.25,0.10,0.59,36.28,5.20,1274.98,triangle,743.01,177.04,17.34,5.79,9.80,1.71,2.45,3633.84,3392.09,1620.56,10.65,57.13,81.57,34.14,221.73,153.59,0.96,0.17,2.56,0.00,0.38,0.07,0.65,47.90,0.68,2.43,0.00,4.13,0.00,22.04,0.14,0.04,1.96,0.15,0.06,0.36,22.04,3.16,774.55
ASC030,Rainbow sandwich,asc_manual,1145.57,272.75,34.26,7.75,12.54,4.05,2.10,7021.96,2934.21,411.22,31.16,172.04,149.85,20.43,612.49,143.97,1.20,0.10,5.00,0.00,0.36,0.02,0.76,128.38,0.36,0.13,0.00,2.15,0.00,21.69,0.20,0.09,1.16,0.08,0.06,0.68,21.69,2.12,188.09,triangle,547.87,130.44,16.39,3.70,6.00,1.93,1.01,3358.25,1403.29,196.67,14.90,82.28,71.67,9.77,292.92,68.86,0.58,0.05,2.39,0.00,0.17,0.01,0.36,61.40,0.17,0.06,0.00,1.03,0.00,10.38,0.10,0.04,0.55,0.04,0.03,0.33,10.38,1.01,89.95
ASC031,Club sandwich ,asc_manual,982.35,235.32,18.51,7.31,15.12,2.01,1.81,6110.90,5725.71,1625.38,31.26,115.68,128.02,18.60,461.66,169.00,0.86,0.08,3.73,0.00,0.23,0.01,0.87,80.88,1.19,1.91,0.00,13.56,0.00,19.82,0.16,0.09,1.33,0.36,0.10,1.98,19.82,6.83,918.33,triangle,863.24,206.79,16.26,6.42,13.29,1.77,1.59,5369.95,5031.47,1428.30,27.47,101.65,112.50,16.34,405.68,148.51,0.76,0.07,3.28,0.00,0.20,0.01,0.77,71.08,1.04,1.68,0.00,11.92,0.00,17.42,0.14,0.08,1.17,0.31,0.09,1.74,17.42,6.00,806.99
ASC032,Vegetarian club sandwich,asc_manual,829.67,198.33,19.68,5.45,11.33,2.08,2.06,4721.69,3935.81,1208.38,23.13,122.44,120.49,18.65,305.36,159.77,0.77,0.07,3.11,0.00,0.24,0.01,0.58,85.76,1.23,3.27,0.00,15.00,0.00,21.16,0.10,0.07,0.78,0.20,0.07,1.81,21.16,7.24,973.74,triangle,687.59,164.37,16.31,4.52,9.39,1.72,1.70,3913.10,3261.81,1001.45,19.17,101.47,99.86,15.46,253.07,132.41,0.64,0.06,2.58,0.00,0.20,0.01,0.48,71.08,1.02,2.71,0.00,12.43,0.00,17.53,0.08,0.06,0.65,0.17,0.06,1.50,17.53,6.00,806.99
ASC033,Pin wheel sandwich,asc_manual,1295.40,311.52,14.00,8.77,24.93,1.45,0.93,2856.30,13907.46,5907.96,179.52,67.75,111.59,13.69,374.39,110.30,1.36,0.08,20.07,0.00,0.18,0.02,0.80,109.78,6.65,0.12,0.38,0.77,6.55,32.44,0.09,0.13,0.48,0.70,0.12,8.38,32.44,0.00,70.49,triangle,361.09,86.84,3.90,2.44,6.95,0.41,0.26,796.19,3876.70,1646.84,50.04,18.89,31.11,3.82,104.36,30.75,0.38,0.02,5.60,0.00,0.05,0.01,0.22,30.60,1.85,0.03,0.10,0.21,1.83,9.04,0.02,0.04,0.13,0.20,0.03,2.34,9.04,0.00,19.65
ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),asc_manual,899.82,214.11,29.04,5.30,9.12,5.30,3.66,5161.20,2211.03,628.98,21.05,118.05,97.76,31.49,302.88,228.82,1.80,0.14,3.60,0.00,0.63,0.45,0.78,89.31,0.25,0.45,0.00,14.90,0.00,22.32,0.13,0.07,1.44,0.21,0.10,1.71,22.32,2.78,2220.14,triangle,875.07,208.22,28.25,5.15,8.87,5.15,3.56,5019.26,2150.23,611.68,20.48,114.80,95.08,30.62,294.55,222.52,1.75,0.13,3.50,0.00,0.61,0.44,0.76,86.85,0.24,0.44,0.00,14.49,0.00,21.70,0.12,0.07,1.40,0.20,0.09,1.67,21.70,2.70,2159.09
ASC035,Salami sandwich,asc_manual,1068.35,255.59,21.54,8.70,15.51,2.00,1.97,6875.04,5531.68,1238.08,33.35,73.54,88.61,20.81,662.75,194.06,1.11,0.10,4.52,0.00,0.26,0.02,1.05,64.51,0.22,0.43,0.00,3.54,0.00,17.03,0.25,0.09,2.07,0.51,0.13,2.39,17.03,1.69,104.03,triangle,793.25,189.78,15.99,6.46,11.52,1.48,1.46,5104.72,4107.27,919.28,24.76,54.61,65.80,15.45,492.09,144.09,0.82,0.08,3.35,0.00,0.19,0.01,0.78,47.90,0.16,0.32,0.00,2.63,0.00,12.65,0.19,0.07,1.54,0.38,0.10,1.77,12.65,1.25,77.24
ASC036,Vegetable and mayonnaise sandwich,asc_manual,1020.23,244.26,23.20,4.47,15.40,2.35,2.35,4467.60,6614.60,2487.48,21.87,79.53,55.55,16.70,342.70,143.10,0.91,0.09,3.17,0.00,0.30,0.02,0.42,78.70,2.66,1.79,0.00,9.37,0.00,24.97,0.11,0.06,0.86,0.11,0.08,0.98,24.97,18.89,2218.25,triangle,696.82,166.83,15.85,3.06,10.52,1.60,1.61,3051.37,4517.77,1698.95,14.94,54.32,37.94,11.41,234.06,97.74,0.62,0.06,2.16,0.00,0.21,0.02,0.28,53.75,1.82,1.22,0.00,6.40,0.00,17.05,0.08,0.04,0.59,0.07,0.06,0.67,17.05,12.90,1515.07
ASC037,Egg and tomato sandwich (Ande aur tamatar ka sandwich),asc_manual,933.23,222.11,25.90,7.66,10.51,2.09,1.77,5164.06,2761.66,611.98,95.63,95.71,95.47,18.11,423.26,150.47,1.30,0.10,12.16,0.00,0.31,0.03,0.69,124.29,0.67,1.35,0.18,3.87,3.07,27.45,0.14,0.09,0.99,0.35,0.09,4.08,27.45,3.33,790.67,triangle,555.27,132.15,15.41,4.56,6.25,1.24,1.05,3072.61,1643.19,364.13,56.90,56.95,56.80,10.77,251.84,89.53,0.78,0.06,7.24,0.00,0.18,0.01,0.41,73.95,0.40,0.80,0.10,2.31,1.83,16.33,0.08,0.05,0.59,0.21,0.05,2.43,16.33,1.98,470.45
ASC038,Sweet open sandwich,asc_manual,1026.93,244.25,39.24,4.99,8.15,12.23,2.36,4453.81,1778.49,289.97,18.05,85.18,60.50,22.74,205.27,230.97,1.15,0.13,3.62,0.01,0.39,0.01,0.43,81.19,0.23,0.13,0.00,1.43,0.00,22.12,0.12,0.06,0.99,0.13,0.21,0.56,22.12,2.80,146.68,triangle,605.89,144.11,23.15,2.94,4.81,7.22,1.39,2627.75,1049.31,171.08,10.65,50.26,35.69,13.42,121.11,136.27,0.68,0.08,2.14,0.00,0.23,0.01,0.25,47.90,0.13,0.08,0.00,0.84,0.00,13.05,0.07,0.03,0.59,0.08,0.13,0.33,13.05,1.65,86.54
ASC039,Mushroom and cheese sandwich (toasted),asc_manual,951.30,227.42,21.01,7.79,13.01,2.11,2.28,7548.33,3185.63,525.33,35.12,172.35,196.85,21.16,456.57,198.37,0.84,0.09,3.64,0.00,0.28,0.02,0.80,139.41,0.31,6.86,0.00,5.69,0.00,16.77,0.10,0.09,0.88,0.25,0.08,4.00,16.77,0.00,83.20,triangle,720.61,172.27,15.92,5.90,9.85,1.60,1.73,5717.86,2413.11,397.94,26.60,130.56,149.12,16.03,345.85,150.26,0.64,0.07,2.76,0.00,0.21,0.01,0.60,105.60,0.24,5.20,0.00,4.31,0.00,12.70,0.08,0.07,0.66,0.19,0.06,3.03,12.70,0.00,63.02
